Mixing rate (rpm),Colour removal (%),Turbidity removal (%),Mixing time (min),Coagulant vol.,Nitrate conc.(ppm),Iron conc.(ppm),pH,DO(ppm),Salinity(PPT),Initial pH,Salinity (ppt),TDS (ppt),DO (ppm)
90.0,86.39,84.43,2.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,91.31,90.66,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,92.09,92.11,6.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,94.78,93.36,8.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,92.05,91.7,10.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,20.0,0.4357,4.0,2.0,120.0,86.93835213986785,86.47125140924464,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,30.0,0.3381,4.0,3.0,60.0,89.86425719185064,93.23562570462232,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,40.0,0.3149,4.0,4.0,42.0,90.55975921240392,95.26493799323562,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,50.0,0.3334,4.0,5.0,34.0,90.00515630808341,96.16685456595265,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,60.0,0.3511,4.0,6.0,56.0,89.47453623205784,93.68658399098084,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,100.0,0.4354,4.0,7.0,57.0,86.94734570047845,93.57384441939121,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,81.78,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,219.525,0.736,41.28049414824447
90.0,10.0,16.2,4.0,1.0,11.9,8.64,2.1,3.92,4.5,7.0,219.525,0.736,41.28049414824447
90.0,20.0,12.8,4.0,2.0,1.4,9.11,2.9,6.37,7.23,7.0,219.525,0.736,41.28049414824447
90.0,30.0,13.0,4.0,3.0,0.8,8.5,4.5,8.92,10.1,7.0,219.525,0.736,41.28049414824447
90.0,40.0,13.1,4.0,4.0,0.7,8.15,4.9,10.2,11.5,7.0,219.525,0.736,41.28049414824447
90.0,50.0,13.3,4.0,5.0,0.8,8.59,4.5,12.5,14.1,7.0,219.525,0.736,41.28049414824447
90.0,60.0,13.0,4.0,6.0,0.7,7.26,4.9,13.7,15.5,7.0,219.525,0.736,41.28049414824447
90.0,100.0,13.0,4.0,7.0,1.0,6.49,5.2,19.5,22.0,7.0,219.525,0.736,41.28049414824447
90.0,0.0,17.1,4.0,4.0,7.4,7.46,8.6,20.7,23.5,7.0,219.525,0.736,41.28049414824447
90.0,81.78,1.2,4.0,4.0,9.65,8.875,6.9,11.35,12.8,4.0,2.23,0.9,12.1
90.0,81.78,1.3,4.0,4.0,9.65,8.875,6.9,11.35,12.8,5.0,2.18,1.0,11.8
90.0,81.78,1.5,4.0,4.0,9.65,8.875,6.9,11.35,12.8,6.0,2.13,1.1,12.6
90.0,81.78,1.7,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,1.51,1.1,11.9
90.0,81.78,1.9,4.0,4.0,9.65,8.875,6.9,11.35,12.8,8.0,3.05,1.6,12.3
90.0,81.78,2.0,4.0,4.0,9.65,8.875,6.9,11.35,12.8,9.0,2.75,1.5,11.9
90.0,81.78,2.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,10.0,2.85,1.7,12.1
90.0,231.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,4.0,769.0,0.572,69.96098829648895
90.0,101.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,5.0,668.0,0.331,84.88023952095809
90.0,55.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,6.0,464.0,0.231,88.14655172413794
90.0,28.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,7.0,452.0,0.19,93.80530973451327
90.0,48.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,8.0,495.0,0.16,90.30303030303031
90.0,89.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,9.0,436.0,0.506,79.58715596330275
90.0,110.0,17.1,4.0,4.0,9.65,8.875,6.9,11.35,12.8,10.0,458.0,0.534,75.9825327510917
69.69802811815266,77.41449029205151,91.13257806547999,3.793668656266142,3.977508065509105,11.6190214795179,14.227653101499092,4.134806661084446,12.118535550682779,13.570221053790508,6.745933902198181,197.67461897882364,0.7879383534084676,43.29977851700985
113.50202974164324,74.06010446321947,87.17760879930351,4.768328621343676,3.8247834424621607,9.234750343006525,6.280210583135955,9.943856075988148,10.490562445886724,12.831408030632645,7.301345871705223,205.95963864148612,0.7417539524836374,40.48557157436031
176.32273352536637,79.8314514478845,72.81149772378168,3.911904976345721,4.133171521520785,12.065041483927587,10.930530385843188,4.0,11.170099910495813,13.548786763241395,6.7784292059162174,229.14768414111697,0.7997510162484432,40.77692545863206
211.07314368145583,86.31835750834087,91.68697792172664,3.9594706383719864,4.031789944178218,11.213895701116947,11.775048602231038,5.4992627109971775,11.552727242187748,13.21314494774488,7.140805260422804,246.24672155165467,0.8480911935336435,46.510491009916
240.9972962701546,84.7166223825607,82.57908308978736,3.5700745687328634,3.9553238879196595,4.417086985245554,15.01379964206539,6.984342150178672,11.88969656322359,12.292260466659556,6.720789373980205,174.36757535717237,0.7497116770499854,43.330079138223184
300.4973000339895,76.96448863048103,98.23917321906197,4.218153612402092,3.9727510440392,9.302421237078846,8.400899912616461,4.0,11.385559575397837,12.154642140403684,7.0415662223599895,243.8642220803573,0.7666360944895402,45.40631543146479
1.8866205234141589,100.0,91.57818417393797,3.9592031555100604,3.8038305417926113,2.6792592494702205,11.244672922543842,6.623824947242692,11.940700662655054,12.711684207315496,6.888850529587274,193.85748614574328,0.6365356031373915,43.434780696501065
51.64997646991704,100.0,97.20119860918157,4.190623663747917,3.9750259746558805,14.69604278805167,10.758582611735752,8.817460630664701,12.080735228201535,12.598560684636052,7.504646972806891,267.9973253521564,0.7768032720055795,44.21780414469175
55.96571731287215,85.059484154634,98.32218968344493,4.2202311292874795,4.002006184912052,13.520932433814384,10.548965999344357,6.50419032327463,11.056548659751742,12.778057182193342,6.99310018659992,189.42634943450668,0.7930942356630455,43.24027340909484
72.22787636579105,90.17290469694271,84.54309145256612,4.1217637793761766,4.269502104841349,11.388478060553474,7.479185035977744,10.0,11.594183981860747,13.100149595390176,7.150081504332547,255.0509119317118,0.7765627259806472,39.95857973897572
96.36067840327624,68.18670632051607,52.15340556261317,0.4078065697906814,3.9986129434042854,5.493487811900753,10.363511026778696,4.0,11.489234843050127,12.986697413930706,6.801218580092967,192.14084318404093,0.7569565536183687,45.16768969681499
100.77955222435342,74.57400137452035,64.09579316956417,2.0670096051764135,3.9768812514768306,8.827403072910396,6.493242978028675,8.161367582655206,11.134469970679694,12.051813378171031,7.041550601731611,211.04595423276822,0.703148000951931,36.70251351215173
92.71894423670308,83.14708680281812,83.81094340918331,2.702609859507809,4.0997764494150974,13.885452526454227,9.029445568077092,5.886789790383375,11.357950919995423,12.52285070575572,6.937355598483144,195.32868768243026,0.7487075188105897,41.29013007201065
88.03245932036846,77.7374101896501,85.9063671820509,3.8880697346175785,4.303706324145446,8.696853705319699,13.050439253157958,6.312549584644224,11.709206590337681,12.328479306926866,6.804056248363679,194.98030002322454,0.7019150106582719,42.89361041634296
89.75667819020002,91.76780535210558,92.82218571723786,5.402161119376602,4.0847291162771295,0.0,10.1769828375391,4.0,11.58892969849352,12.181742634773727,6.88647464431228,218.5338825835539,0.6624299502294813,43.809922283090266
89.13939885861247,88.63746843868249,85.17436879951845,2.6797011442439773,4.503796144128806,10.544792406220225,8.11920585010612,7.202535605270539,11.880851131656552,12.565648969560417,6.814983878846823,200.75796848168557,0.7249746034718344,42.56315697265931
97.75356130848472,93.19319215684445,94.9949760535106,4.5392302737759325,3.757478455495087,8.258717475085165,4.636085197519649,7.704393621160446,11.304459866996453,12.748134239728383,6.9016660727591965,176.07699465132427,0.717507793029854,40.169163767279365
83.35523623303706,98.63737646079788,90.70735907044472,6.319190026963374,3.7736403879139186,14.206191618713813,5.112165367341401,6.0446235840012,12.280619280102286,14.256244866182188,6.9880670421805124,232.4648714220202,0.7314257319328608,41.461160334032115
86.09690895702477,86.88319805092998,94.8349394063426,8.010231018632103,4.044033705858138,15.754608900612212,11.775511752501217,4.0,10.945603990364368,13.28332444042555,6.9779114779376386,225.0666130640997,0.7123142135295779,45.306238317446095
80.62788828067845,93.4470091543982,94.69867699453926,9.858223428857453,3.899740102787923,10.722425859257267,9.038057834399815,10.0,12.050013477618643,12.353719879932488,6.902822918350568,197.81874033877534,0.7349834045872766,41.85731339432675
96.34604990635215,13.971778919372237,5.874283478448135,3.569029043155382,2.117649198487992,119.03291595278095,85.7211971727311,10.0,11.993377177418624,12.633936965375812,6.986082142139226,223.70059658180745,0.7168658812216068,41.07652066524172
94.5036896624474,32.26578941304128,1.53898559601434,3.987775168020148,3.270776931821712,67.22492529525252,88.03962724686313,10.0,11.987626783693164,13.205328596038125,6.8275757600054,161.09024266015246,0.7989525327883018,41.953268085480936
90.48048221479631,48.737219507381,1.0036179608416607,4.113085985747202,3.8883920362403654,39.25519041814851,87.76810733732336,10.0,11.48812479927818,12.50860643202244,7.033780417792531,223.01608338947517,0.7299229824400999,42.22981126189576
92.23040091408457,61.85298868394802,0.0,3.787800268552184,4.946234605839815,37.55175982354219,83.8128672213282,10.0,11.993875817473782,13.533191424906189,6.689970019177196,169.59844318381892,0.7143080458257374,42.724244101164246
83.94385568562247,54.810108475545384,3.6787141042306626,4.043210806952687,5.942523100301258,54.69043742313096,90.26760310935909,10.0,11.99739897371321,11.792373555459696,6.843638096599397,193.3407946132372,0.6938889167591702,42.68482920453557
78.34564688239146,100.0,4.299297157011218,3.533767847862755,7.182990937019136,56.485271423844885,84.73950013134784,10.0,11.20434463864801,13.431382530229314,6.78294284789197,234.39309449597067,0.6650927483054795,37.63885246057976
73.55487053380148,93.94498269708454,19.60887962076434,4.176271364680769,3.669115630305999,10.966247589404595,5.835051483121786,7.377646257181337,11.508785658256071,13.215883080475988,7.14943007830397,211.22278706782882,0.6986084469056163,39.27679593489396
101.51964076922839,16.226103088593877,15.433902320446418,4.490065246124762,0.7376017954410733,20.938807676622194,4.99276060655301,4.0,4.311324020516719,4.156802243019329,7.065965459959643,221.0801147836043,0.7359487508717678,41.97296762952228
96.46513547777036,22.427084087647103,11.533871293701635,3.809499006626329,1.9673645489248026,0.0,8.392110909429336,5.364091502659322,6.598980260513939,7.805468911684337,6.873642282535282,220.38010174219235,0.8049057517898194,41.89321840310664
86.4234472493499,29.294878193620075,15.84142549050783,4.103969793133186,2.954108027341311,0.0,11.011836201208558,9.226580817389804,8.082976536038453,9.574595915998566,6.949055452336482,214.11477220936752,0.7576490714920474,42.19901584184824
71.96244916208859,28.920831089649575,17.54657305004357,4.214228279951743,4.078184104948906,0.0,9.116101268490112,6.71745081778212,10.399457728572974,11.945453305882394,7.014211511318363,245.7509000461337,0.7732272059645815,42.28813931499659
84.26493583725403,54.67478286703283,8.114762582963976,3.7967919370570127,5.201371099413644,4.909496347062363,13.704817579498503,4.0,12.528680955668591,14.201989406776466,6.962322220848611,216.32548629767393,0.8192152383085226,38.852879385316996
95.63081506729569,55.93490517285068,16.13902358077547,3.846427352435886,5.985255713304654,0.0,6.762598323660709,8.534368283897617,13.81527904656324,15.700052557226519,6.851642759355481,262.63201423624787,0.7219374073045257,39.93451964587637
91.78376512462663,100.0,17.563477137254225,3.9234725894652493,6.861774535408096,3.8996339552423143,3.4089146292564085,8.486273927745838,20.09572309549237,22.96260468860923,7.489304773095486,225.58565697822988,0.7288190726066727,44.06625215297414
87.66110542208364,6.270888123005817,16.13663544252719,3.946162516990231,3.9662974447302046,7.81079087276986,8.716075790248754,10.0,20.783568460110875,23.01669452569317,7.091082931679164,240.9098285518164,0.7172055664998582,44.88303494342023
92.26757341021053,83.44282753694225,0.0,3.873767579866378,3.726930416007452,10.153221583106276,11.720982895374126,7.444725227025726,11.081053770961773,12.68704908318453,4.0,0.0,0.8802131374216001,10.95293776358833
93.17021247491964,75.42175709316068,5.561152685396918,4.144335118755884,3.912491406724563,10.595487357606107,13.281307639220284,4.191003660613289,11.610998686836822,12.548876962704682,5.087792776943189,0.0,1.0233205967200762,8.358390984052598
92.9691170199073,78.8850749481102,0.5638112959910674,3.7155808432443753,3.937800271072147,12.0151187850541,9.321756376322352,8.000479526720063,11.172341613661272,12.606164554650402,5.905121841133705,42.20663822449057,1.05146299326303,13.881438281266021
88.89801533600112,63.587370876204034,0.15954449854996233,4.270147541516009,3.9976067643238804,9.2103595314551,10.479537073797937,6.517648548831185,11.514723501675485,13.516825244816985,6.9762374661575635,8.489452489228942,1.1094454897913049,11.945334702936146
87.36221684138398,77.1313149650928,0.0,3.65590005594213,4.29881284177186,9.363647487552983,8.262979647806091,6.139945523889584,11.502543863396156,12.851037363562833,8.239362036816406,0.0,1.6069392415231623,9.141523234735187
100.60081549951016,89.57783016874069,2.9388107913915236,3.8642592898912262,3.9720019927169274,14.276625549985365,8.814128915825227,6.93352845398982,12.251991514598906,12.991941825787496,9.271056988433648,30.457987239983783,1.4959513564450864,8.183862954520821
89.8098547124293,76.4349230204863,3.283784934563336,4.179089138307683,3.850564319869829,13.035157598334417,6.6920650292067325,10.0,11.490060700885941,14.016506322000584,10.0,38.95450153640948,1.659735681342889,12.698789416507603
95.830898842337,100.0,16.301789420831184,3.6373096966802,3.9663370514255463,17.457587315059317,8.618921483742458,6.732265132659199,11.671207479366963,12.418928804142935,4.249033170279086,797.44925554853,0.58069357638483,69.1060671931814
85.00266138478995,98.05299857152293,21.583652154885534,4.063031470608122,3.9766506081386797,6.437237763870183,7.874674720913535,8.35622487574295,11.072980756204517,12.95192560635539,5.088072035031151,675.6651941505779,0.36250829729998457,83.00549526701214
75.71104741084119,49.674150725445706,12.632409639066939,3.8223379421350527,4.145612298558264,12.618632370697906,2.003308576396236,8.277599958728292,10.30336359690862,13.577869382550537,5.841705798254412,461.79927681544484,0.23443934337212724,92.45921072875646
86.64308866565652,27.60852974184737,17.497557948476256,4.0509790034813635,3.6549973423165047,1.0028313766505939,11.136708234866258,7.106546297571789,10.268464323435296,12.044586529776268,6.881386883590512,460.9195768992912,0.1252554558477252,96.23881144749497
76.90194584467474,50.824058000404676,15.875006158048574,3.430879577754374,4.1385477559299915,10.464148451022059,8.11570945981463,10.0,11.822891074966186,13.314400545961304,7.759453348483231,496.53850964523235,0.15356406441208897,92.44160488252054
96.98803925472966,85.2128056008387,13.965227498534757,4.239117965425191,4.184865314369907,3.2577760264891635,5.58138637484968,7.932392624069068,12.251763260077947,13.083635358479793,9.08021294573336,429.7269429570408,0.4974410448388283,79.2060143634991
93.24761382831821,88.17425584215826,16.9987781055332,3.7959173555288386,3.8035908570249575,9.883134654848048,9.066960219242645,6.538190725478874,10.55578520323757,12.346822951610461,9.951946212936358,439.4118957596489,0.48947066863365046,72.2092887971863
47.88006008340231,61.51301538901127,91.94527467755859,3.9648140349787697,4.233853239199226,9.674545832814111,9.161614897963728,5.9012144738163865,10.449721556090125,12.935418219314496,6.805238499678692,228.94722554686206,0.6461698987606481,44.00503971942315
105.90372554551595,92.87251577525072,87.08381990443418,4.363281432390617,4.2446534174498565,11.708629278875808,12.827637349043318,7.361947915789078,11.131452257204108,11.21269363109013,7.065630434495766,236.60113190638904,0.7809497361745993,45.03323725411464
154.42444077630506,80.60350731437795,80.55961119885635,4.457895477025499,3.896953997869838,9.425540586227623,4.0110280882329,10.0,10.887377166207301,13.41799291193893,7.152109776444624,236.46663219359635,0.7528562796382315,43.643228290350145
203.1429794706497,85.24320023067934,87.46274205658712,3.7080484287913893,4.066910964347302,3.1561663459762324,5.240886180851769,6.470399874778968,11.219945443861489,12.419615926388097,7.036452734080135,191.05341048001938,0.7597141165154407,40.562688436121476
242.78574649976218,88.52963643122905,80.44565359831525,4.0527144652772025,3.8609800927804554,11.895012395074048,10.05388171151124,9.162086550655403,10.78797553834985,12.82773601306338,6.965276116393166,223.31421362112786,0.7157435211902645,41.63014715650285
296.6754659489998,84.30416934462541,93.02142604143634,4.180559751390758,4.404465705404893,7.572201031609661,9.427503926668482,6.208517580270736,11.430659109131879,11.987185628130806,7.020047662916611,206.6740514842189,0.783250657559244,40.224386911103096
27.883009215382053,82.10637599768067,91.12357414688591,4.0479907018561825,3.6096901440666387,8.790601869034386,6.080708002985516,6.277300040527093,11.207515445663924,13.17625261978739,7.586402631220014,227.3452617501075,0.7260824724512245,37.343355391169624
31.433489472054227,97.59923583013389,96.8389510499492,3.7347263957146213,4.0696549022607,6.905261370858922,7.042400181364926,6.152015713498381,11.066813380400092,12.592101039251975,7.194837782777156,200.7004425181418,0.7322210038582897,38.06245665016706
66.75385404062304,97.37669516739076,99.764920384802,4.167532281756868,3.9889049265233574,8.678449071806858,13.175344953127022,7.516215110228697,11.70087180028484,12.703251215016966,7.047215778462409,209.19408789485226,0.7471897652975756,41.50546236978989
74.2757309947894,84.9967558117923,84.00570906900518,3.647547998280391,4.119513154156208,10.276733379740977,9.56803829168262,5.711878068401502,11.903733875205766,12.177919329017188,7.073962406583684,220.29009048097973,0.6411707992305677,42.105963602886966
102.51822262154832,74.11429039731087,53.45890516436866,0.9768247231187253,3.766686074674664,14.471997923964746,9.34025683452052,10.0,11.91591067180105,13.346789083705582,6.746273206904951,192.31739754334782,0.7282017950470803,41.88457472527939
76.69145933821522,79.97227838696396,60.99214780481497,1.8649280415055174,3.954251514296441,10.81710861781672,4.926990133820912,7.28265667524373,11.931248692783761,13.266281979548685,6.99418349225654,215.0222157562635,0.713769591213004,45.54805142127882
75.11607954129343,87.6181639526935,79.17326940676479,3.318618404586923,3.871600314868698,12.751377348155724,4.239587658166038,6.687707718276987,11.429786286855594,11.87528202863836,7.063930671782836,207.4954238012297,0.7248783156509758,38.24589457975586
86.61825136356323,84.07602607767146,89.15189677776807,3.9292986135893653,3.8145583329729864,3.7318763920799682,6.08932372376017,8.24691116204661,12.239497479103257,12.590263858130944,6.96649361271633,234.81962555288356,0.7753901916221067,41.73905821410843
89.6340421179671,79.9230062203842,100.0,4.477853834299554,3.645071703138186,10.928409767186817,6.993660183106099,8.194279680519607,11.318843632104002,12.758518727630747,7.172201440219514,215.2076456210527,0.7576063082335746,42.23981896808365
95.85056465490464,77.26062065677543,83.12434920665834,2.0763521317787954,4.170544273008704,9.37160098214856,8.9605841492463,5.0880994679958755,10.983204925882369,12.78834601386812,7.148187481566527,218.39625997977174,0.751809258429708,42.123134897277
87.66839048321066,85.6691148009402,91.57591574032153,4.01595643969989,4.0366060936188735,6.945650904617154,9.469856058133164,6.547537934307619,11.29710317882983,13.19708233262333,7.345473355827037,209.00123307976025,0.6847794399674584,38.443062811811906
93.15715122710061,99.53320576487866,89.1200824633855,5.990996688750314,3.9812898381012216,8.301855699636665,6.126225386330633,4.0,11.550491194569082,13.397938369653163,7.0106710646001735,205.5646089984884,0.7612986951679223,42.11773949059067
93.49319260578976,94.90943699722905,95.76841323023059,7.235447837484099,3.8017537487138875,9.012079329406342,13.754876070520215,8.587272616048471,11.424896003146365,13.452944834695186,7.3058288944950665,248.2715710156334,0.69233739611771,43.264966749309686
94.57403935171659,93.77053318705669,88.49402383839588,9.380608790030742,4.109349423031793,16.633755796546605,7.2677710051605295,4.0,11.008008997044634,12.877432913410157,7.069867033644412,220.50556259846186,0.6346665000960638,39.2988695384464
91.75299501345907,24.623089782169927,0.3425231221651134,3.9940785375145964,1.8857442762239827,119.32630859121608,90.62296216015396,10.0,11.11977265785495,12.730184800986917,6.916497888086719,261.2622906268312,0.6952923651855486,43.48541041905717
83.99769892213658,27.72224723689342,0.0,4.059889509834998,2.8778742914568833,61.86956178147403,92.31021407028337,10.0,11.310183718155088,13.645053878142976,6.99025564552936,228.91966357001607,0.7269293730012557,37.50801384348133
84.4473527590155,39.5427041452088,3.3268910926574398,3.6038927937558536,4.055864269236365,40.21211009528732,90.40503105334368,10.0,11.851447887289465,13.051931515857232,7.009433559975105,245.57400977422694,0.7235209625968549,40.720648667318585
94.52908681386548,59.33650094943094,1.5022982007860384,3.8168711565457576,5.260768964563378,39.592632368133344,90.56074391419287,10.0,10.987807674598285,12.111426903927802,6.580992740050341,165.83514517493944,0.6993233964426258,40.920830032552246
87.88254984246717,57.06393123110386,0.0,3.9356713206622476,6.1935308162579465,51.12112986055825,87.57810505654727,10.0,10.778079161107152,12.178349875688543,7.065681908669212,189.47101303845912,0.7660795351954451,44.32209798683796
89.39701463368377,95.2266379584615,0.0,3.315027031754188,6.980725193999942,56.31205407458884,84.7771704119572,10.0,12.13274509189282,13.690856909513435,6.693502362638807,237.5171505785209,0.7422006918812896,40.59792115663635
89.55460454522864,85.54565923131801,12.07743862202308,4.107609373691591,4.44205637205099,6.774891504695786,10.007465822220444,10.0,12.331007174622053,13.727855962081813,6.82122371998292,222.45483462018416,0.7831908591817837,40.315753437794314
93.6306128659872,11.945557535858583,12.09741142049215,3.8391134980309234,1.0150014565015613,12.17981738186384,7.469596787711824,4.0,4.483974476427299,4.820650146582752,7.118384381134359,245.89532485033305,0.7705232645033401,36.835489617685404
67.04932246641062,24.523532386636646,12.415251393282878,4.010970556092042,2.1240581486035897,7.4127909974175505,9.615925053518904,4.0,6.885746278585285,7.96249384544368,6.96132901111024,218.86527279895532,0.7862299469690728,40.8971213179197
97.73881447432358,18.024825623141247,7.505447217145004,4.089785446643251,2.975880884756624,0.0,7.337121624697495,10.0,9.25625397286505,10.523536746300481,6.882951711552623,240.58223591252406,0.7604260167882549,44.008777874073964
88.14412826185061,29.690970120073803,11.640233259070692,3.9112280843417864,3.773991102809489,0.0,10.948792110681046,7.643807659688813,10.514437820495607,11.468719143256024,6.850124401797055,231.17317205384032,0.774447691868756,37.11244286540351
90.68467640687855,51.78486959698402,12.224343357386118,4.1913895619752655,4.849621850873335,0.5206311792180909,8.709827527253717,6.831544789598219,12.669251305109862,14.030632595704182,7.032668182948943,205.0520116076294,0.7318323690579832,43.322302932030794
87.48732330178771,69.83572650028599,16.084024348388287,4.130410416838482,6.056480507054351,0.0,4.571143441751143,7.756388346209437,14.177594252954307,16.17650396855445,7.103055775544356,225.6972837969387,0.748717603169493,40.23882351767812
99.96764128086222,94.47640087033666,13.411090062790118,3.755080412215509,6.905957069136463,0.0,4.03199706921675,4.0,19.69247234934826,21.763036464635658,6.998116551533231,235.58041350675643,0.7239289105177793,43.06900139334635
68.67993426562771,7.155503747435258,15.727664587075674,3.6732641431373856,4.265069040268456,8.473217070968952,5.446308688749205,7.612240146498994,20.49065760523031,24.483411467863764,7.183354781095058,222.9664608072394,0.7569129687611454,40.92749840364593
76.39810962820005,73.22938030037147,3.9886861874648725,3.785362694908735,4.018051803535641,12.967932666166897,7.161298262840639,6.2175919545017715,11.133837459498869,12.878321923939227,4.046489768417313,12.156322060719406,1.0351443265867732,12.110087438757711
85.04006758505244,93.25386402953608,0.0,3.9797332422600715,4.054285455968135,7.79899289712719,8.579423582497702,6.4340502207063395,10.532038218317634,12.936339544196642,4.826071247007046,0.0,0.9191369126600412,8.948740406308959
95.91641873475541,81.93977815562091,1.1190024368873563,3.7444589169975555,3.6778703236724315,6.319510631498213,9.983676098546407,4.474472121449768,11.102312560598794,12.866279522604628,6.042649873294504,0.0,1.1409015526924673,15.24393901928837
94.36785963781294,99.56638071337693,0.7284491285647423,3.837301547038443,4.17575333150865,13.089316788974369,10.272763537080072,4.0,11.656113232675857,12.344365283063697,7.283893524747213,0.0,1.1368353916166005,12.993912856924377
85.76629146812914,84.11687351251642,0.0,3.7846467683349205,3.7605347870382437,5.376866893289544,11.277228326407359,4.0,10.976015063929632,12.729779537938942,7.85782508611922,0.0,1.6740022778471388,13.060237758507748
84.93650755465657,83.7796180443359,0.0,3.791020238106082,4.052649417976344,11.256317402063605,10.404797290232981,4.384583416541275,11.535959601476996,12.6378314414951,8.90671383522361,0.0,1.458262262456794,14.385026877344762
86.7186133847794,80.36621355576158,1.099675637120642,3.9192446967768166,3.9384073739802186,9.24597436637491,10.586113768396169,6.259815608965172,12.431338307653657,13.01117550005634,9.840740392831227,0.0,1.7184270317085335,14.16775448611201
83.87807167001935,100.0,14.847229403980123,4.22905563643649,3.807590361689803,8.270683152365157,6.807500259174857,7.655885158338073,11.164055887640458,12.3196115920895,4.0,740.5955229513469,0.6020115252682239,73.37585362512327
88.44216995528299,95.80686309620998,18.87986380586026,4.518050911633398,4.143650296318046,13.871048034668064,10.674217054600803,9.222808510154074,10.191563758548185,13.104007348002499,4.987646491693645,655.740980317034,0.40738206595202653,85.47384396195459
80.06252210531726,60.50479437267148,14.875884195451487,3.7748559111132014,3.8432335158099282,11.752109426271904,6.014774891368143,9.165623210197257,10.962098299213716,13.293706739431878,5.938835988800658,427.48366688751724,0.27190587817167716,88.0431586885004
97.29996299742356,22.00133740281894,16.818011691584058,3.7327937999937517,4.158001524853802,0.0,6.749022689680164,6.922544536393394,10.886931435875796,12.336272661750533,6.953095049731499,446.4498954576394,0.2300316026374647,91.90091107558649
93.67677211676384,36.30518055552153,15.724573837643003,4.1966442151056125,3.931587768425337,7.806875967927242,8.787196567670714,7.841618423582649,10.873123133830637,12.717611140562422,8.049712082961694,503.78062453215574,0.15293746269940336,91.47837420223647
90.32568432236172,91.32935677805956,17.801586544243836,4.081522601165715,3.8224400925091575,5.698461663150201,8.390586873066038,8.129314596627768,10.970494155710472,12.609957071890584,9.095412887474398,415.2038968365323,0.4180989313519463,84.48083904608517
